time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
1/1/1990,TSN,10.818797,106.651856,1990,1,1,0.01,21.17575758,27.02727273,71.46313322,23,32,88.50780321,100.9728715,0.499630986,3.36E-05,1.601291073,150.2443274
1/2/1990,TSN,10.818797,106.651856,1990,1,2,0.01,19.515,27.145,65.53908562,22,31.3,94.66833766,101.0165231,0.704072664,3.40E-06,2.618384166,116.6631737
1/3/1990,TSN,10.818797,106.651856,1990,1,3,0.01,20.49,27.19,68.4252275,22,32.3,94.05695924,101.1058123,0.231625139,1.88E-05,1.864198962,110.6329947
1/4/1990,TSN,10.818797,106.651856,1990,1,4,0.01,19.70512821,27.22051282,65.13660496,21,32,94.05695924,101.141451,0.250716742,2.47E-05,1.531392227,110.6141833
1/5/1990,TSN,10.818797,106.651856,1990,1,5,0.01,20.37352941,26.94411765,69.3670047,23,31.7,94.05695924,101.2218215,0.730716476,0,1.071433753,289.2550143
1/6/1990,TSN,10.818797,106.651856,1990,1,6,0.01,20.45588235,26.85294118,69.48424255,22,30.3,94.10021749,101.259674,0.715918693,6.13E-05,1.517252996,246.7071439
1/7/1990,TSN,10.818797,106.651856,1990,1,7,0.01,20.29565217,26.93478261,68.96017245,22,33,94.10021749,101.1813308,0.676857424,0,1.211122292,133.2586499
1/8/1990,TSN,10.818797,106.651856,1990,1,8,0.01,21.07352941,28.25,66.1798788,23,32.1,88.6689178,101.1629198,0.723550822,0.001606243,1.075945481,197.9944722
1/9/1990,TSN,10.818797,106.651856,1990,1,9,0.01,21.959375,28.540625,68.74084554,23,33,88.6689178,101.1041744,0.888280319,0.001640848,1.409380119,185.6379632
1/10/1990,TSN,10.818797,106.651856,1990,1,10,0.01,21.63939394,27.63939394,70.40606622,24,31.3,88.5887773,100.9386715,0.564379161,0.00055987,1.303954762,113.4987473
1/11/1990,TSN,10.818797,106.651856,1990,1,11,0.01,21.60882353,28.55,67.48663012,24,33.6,88.5887773,100.9195467,0.288265483,0.001357558,2.071685632,106.6551537
1/12/1990,TSN,10.818797,106.651856,1990,1,12,0.01,22.25185185,27.31851852,75.22600525,24,34,90.21709842,100.9386948,0.46740602,0.000306967,2.250067283,104.6089703
1/13/1990,TSN,10.818797,106.651856,1990,1,13,0.01,22.24864865,27.97297297,72.2698879,24,34,90.74197788,100.8314871,0.17441664,3.36E-05,2.239245849,106.23467
1/14/1990,TSN,10.818797,106.651856,1990,1,14,0.01,22.03333333,28.05151515,70.50286065,24,33,86.91552426,100.7527631,0.384088084,7.12E-05,2.349763078,100.9309288
1/15/1990,TSN,10.818797,106.651856,1990,1,15,0.01,21.44615385,28.41282051,66.72456549,25,35,88.5887773,100.8062735,0.847513642,2.63E-05,2.411264336,120.3453092
1/16/1990,TSN,10.818797,106.651856,1990,1,16,0.01,20.08333333,27.42083333,65.03604466,21.4,33,80.78296244,100.8421438,0.901245279,1.79E-05,2.937797608,120.7076602
1/17/1990,TSN,10.818797,106.651856,1990,1,17,0.01,19.44137931,26.96896552,65.8432784,21.2,34,88.50780321,100.79681,0.61663505,2.67E-07,2.429897313,122.1290657
1/18/1990,TSN,10.818797,106.651856,1990,1,18,0.01,20.32941176,27.17647059,67.06184148,22,32,90.14704058,100.8282027,0.701782137,0.000563772,2.202038583,114.1386743
1/19/1990,TSN,10.818797,106.651856,1990,1,19,0.01,21.10740741,27.2962963,70.39500505,24,32,94.18534382,100.9383596,0.610349927,5.96E-05,2.159621688,134.9699917
